#   id name ra dec id logM_50 logSFR_50 logOH_50 tauV_50 logAGE_50 zzz_50 nn_50 VJ_50 UV_50 logM_16 logSFR_16 logOH_16 tauV_16 logAGE_16 zzz_16 nn_16 VJ_16 UV_16 logM_84 logSFR_84 logOH_84 tauV_84 logAGE_84 zzz_84 nn_84 VJ_84 UV_84
  16300  HST05Spo  189.276825 62.253344  16300 8.622  0.315  7.342 1.094 8.487 0.82  -0.491 0.336  0.773 8.601  0.058  7.332 0.845 8.474 0.801 -0.493 0.32   0.75   8.682  0.345  8.031 1.11  8.499 0.838 -0.488 0.352  0.79 
  16334  HST05Mob  189.106325 62.253067  16334 10.062 0.964  7.724 2.895 8.987 0.663 -0.455 1.141  1.277 9.925  -0.289 7.403 2.482 8.933 0.644 -0.572 1.124  1.253  10.095 1.246  8.374 2.937 9.12  0.682 -0.412 1.157  1.323
  16511  GND13ful  189.080113 62.253544  16511 10.254 1.552  8.894 2.981 8.927 0.812 -0.426 0.913  1.056 10.173 0.49   7.623 2.166 8.783 0.781 -0.493 0.887  0.991  10.37  1.607  9.114 3.007 9.057 0.834 -0.422 0.969  1.074
  16674  GND13vin  189.276667 62.255006  16674 9.729  0.821  9.059 0.291 8.639 0.867 -0.437 0.412  0.492 9.71   0.793  9.05  0.275 8.627 0.848 -0.439 0.396  0.476  9.747  0.849  9.069 0.307 8.651 0.886 -0.434 0.428  0.508
  16769  HST05Fer  189.104783 62.25655   16769 9.075  -0.11  7.876 2.459 8.401 1.076 -0.939 0.624  0.861 9.054  -0.788 7.864 1.036 8.386 1.058 -0.942 0.605  0.845  9.103  -0.074 8.388 2.48  8.526 1.093 -0.935 0.67   0.876
  17014  K0404-005 189.112733 62.252708  17014 11.343 -0.313 8.382 1.743 9.636 0.767 -0.77  1.384  1.949 11.326 -0.337 8.374 1.729 9.626 0.749 -0.772 1.37   1.936  11.361 -0.289 8.39  1.757 9.647 0.784 -0.768 1.398  1.963
  17167  GND12bur  189.135267 62.2590974 17167 8.46   -0.106 7.099 0.612 8.94  0.612 -0.787 0.43   0.452 8.44   -0.134 7.089 0.596 8.927 0.595 -0.79  0.405  0.436  8.481  -0.079 7.108 0.627 8.953 0.63  -0.785 0.495  0.468
  17481  GND13roy  189.192633 62.257628  17481 10.434 2.374  9.23  3.516 8.545 0.87  -0.855 1.384  1.222 10.417 2.35   9.222 3.503 8.535 0.852 -0.857 1.37   1.209  10.452 2.398  9.239 3.53  8.556 0.887 -0.852 1.398  1.236
  17904  GND12cal  189.293649 62.263167  17904 9.529  0.348  8.027 0.517 8.931 0.943 -0.743 0.66   0.769 9.461  0.172  7.149 0.223 8.766 0.91  -0.916 0.615  0.72   9.616  0.553  9.046 0.619 9.01  0.981 -0.436 0.707  0.822
  18258  GND12fai  189.06639  62.2655318 18258 9.022  1.033  8.721 1.261 7.635 1.9   -0.4   0.012  0.255 9.003  1.007  8.713 1.246 7.624 1.882 -0.403 -0.003 0.239  9.041  1.06   8.729 1.276 7.646 1.918 -0.398 0.027  0.27 
  18260  K0405-004 189.145492 62.263669  18260 10.51  0.563  8.353 2.088 9.136 0.826 -0.733 1.078  1.324 10.42  0.176  7.599 1.493 9.049 0.803 -0.917 1.026  1.269  10.591 1.325  8.718 2.912 9.209 0.86  -0.453 1.111  1.353
  18390  HST05Fil  189.330538 62.266472  18390 9.268  0.807  7.664 0.328 8.187 1.571 -0.777 0.168  0.31  9.244  0.682  7.643 0.246 7.997 1.533 -0.819 0.122  0.285  9.289  0.967  7.78  0.62  8.335 1.602 -0.508 0.186  0.369
  18686  K0404-011 189.205675 62.268008  18686 10.223 1.892  8.81  2.923 8.631 1.404 -0.528 1.167  1.276 9.972  0.157  7.67  2.894 8.146 1.373 -0.722 1.096  1.246  10.556 2.243  8.828 3.585 9.152 1.443 -0.471 1.191  1.331
  19639  K0404-010 189.191954 62.273833  19639 9.905  -1.898 8.29  0.73  9.342 0.78  -0.666 1.094  1.598 9.869  -3.0   7.417 0.188 9.302 0.754 -0.833 1.055  1.557  9.953  -1.608 9.055 1.485 9.416 0.82  -0.469 1.126  1.637
  19698  GND12kin  189.304223 62.2752405 19698 7.31   -0.758 8.546 1.369 8.408 0.666 -0.682 0.72   0.67  7.0    -1.419 7.403 0.842 8.023 0.645 -0.902 0.414  0.395  7.571  -0.489 9.086 2.116 8.946 0.688 -0.491 0.926  0.988
  20186  GND13sto  189.320099 62.278516  20186 8.447  0.843  7.928 0.885 7.87  1.494 -0.421 -0.246 0.501 8.309  0.68   7.588 0.696 7.803 1.472 -0.674 -0.413 0.457  8.654  0.987  8.254 1.066 8.186 1.524 -0.412 -0.16  0.606
  20193  K0405-007 189.243529 62.277047  20193 9.832  -0.461 8.798 0.551 9.452 0.471 -0.73  1.027  1.328 9.808  -1.031 7.831 0.089 9.405 0.444 -0.988 1.006  1.297  9.868  -0.119 8.826 2.01  9.488 0.511 -0.522 1.062  1.371
  21156  HST04Pot  189.464875 62.285617  21156 8.278  0.026  7.853 0.083 8.484 1.024 -0.594 -0.282 0.446 8.218  -0.06  7.841 0.052 8.402 1.006 -0.767 -0.343 0.253  8.321  0.062  8.516 0.102 8.552 1.042 -0.591 -0.255 0.466
  21281  HST04Gua  189.401763 62.2742    21281 11.495 3.858  9.133 1.179 8.029 2.106 -0.558 0.737  0.212 11.478 3.834  9.125 1.165 8.018 2.089 -0.56  0.724  0.198  11.512 3.883  9.142 1.192 8.04  2.124 -0.556 0.751  0.226
  21296  GND13fin  189.326342 62.285928  21296 9.488  -0.24  8.658 0.212 8.065 1.498 -0.877 0.214  0.468 9.451  -1.161 7.399 0.195 7.971 1.472 -0.979 0.173  0.439  9.531  0.557  9.108 0.229 8.187 1.537 -0.703 0.29   0.5  
  22092  K0404-008 189.515196 62.286603  22092 11.143 1.384  8.952 3.34  9.124 0.296 -0.568 1.468  1.47  10.748 0.886  8.206 2.95  8.826 0.266 -0.708 1.448  1.449  11.275 1.69   8.976 3.371 9.29  0.318 -0.444 1.503  1.499
  22115  K0405-005 189.149963 62.292408  22115 8.816  -0.309 7.973 0.177 9.087 0.664 -0.787 0.452  0.785 8.796  -0.336 7.962 0.159 9.059 0.646 -0.79  0.43   0.766  8.836  -0.281 7.987 0.605 9.102 0.681 -0.529 0.47   0.858
  22355  GND12whe  189.10086  62.2944232 22355 9.831  -0.66  8.505 2.909 8.421 1.9   -0.69  0.572  0.734 9.811  -0.689 8.495 2.893 8.217 1.882 -0.693 0.556  0.718  9.852  -0.388 8.515 2.926 8.434 1.918 -0.606 0.589  0.75 
  22645  HST05Ste  189.256392 62.296425  22645 8.18   0.537  8.915 0.856 8.094 0.509 -0.63  0.212  0.333 8.15   0.512  8.907 0.843 8.081 0.492 -0.632 0.198  0.319  8.219  0.562  8.923 0.87  8.106 0.527 -0.628 0.226  0.347
  23344  GND13wol  189.245554 62.302789  23344 9.655  -0.271 8.071 0.045 8.93  0.912 -0.745 0.633  0.822 9.602  -0.698 7.589 0.01  8.87  0.874 -0.814 0.605  0.804  9.702  -0.048 8.716 0.245 8.983 0.938 -0.556 0.669  0.844
  23502  GND12tom  189.17765  62.305761  23502 10.788 2.869  9.23  3.355 8.402 1.179 -0.545 1.644  1.361 10.771 2.845  9.222 3.341 8.386 1.161 -0.548 1.618  1.335  10.805 2.893  9.239 3.369 8.425 1.196 -0.543 1.673  1.39 
  23694  HST05Koe  189.095246 62.306447  23694 10.893 0.635  8.544 3.41  8.984 1.076 -0.478 1.536  1.478 10.695 0.566  8.111 3.379 8.902 1.057 -0.544 1.497  1.418  10.944 2.092  9.042 3.764 9.036 1.096 -0.406 1.556  1.523
  24182  K0404-007 189.289246 62.370781  24182 11.544 1.248  7.924 3.754 9.028 1.648 -0.588 1.501  1.622 11.526 1.22   7.914 3.454 9.016 1.627 -0.59  1.441  1.594  11.562 1.276  8.28  3.771 9.041 1.671 -0.585 1.517  1.639
  24376  K0404-006 189.278046 62.35495   24376 10.589 2.444  9.302 1.34  8.0   2.418 -0.751 0.695  0.617 10.57  2.417  9.292 1.325 7.988 2.399 -0.753 0.679  0.601  10.608 2.471  9.311 1.356 8.012 2.438 -0.749 0.71   0.632
  24709  2002ki    189.368271 62.344383  24709 9.576  0.749  8.067 0.535 8.575 1.177 -0.491 0.415  0.457 9.557  0.723  8.058 0.52  8.563 1.158 -0.494 0.399  0.441  9.595  0.776  8.077 0.55  8.587 1.196 -0.489 0.43   0.472
  24887  GNW12ger  189.320687 62.343983  24887 8.824  0.099  8.643 0.768 8.552 0.902 -0.57  0.363  0.683 8.713  -1.137 7.698 0.379 8.27  0.863 -0.813 0.249  0.502  8.912  0.259  8.715 1.505 8.72  0.933 -0.46  0.442  0.706
  26114  HST05Sco  189.213317 62.332253  26114 8.911  -0.577 8.201 0.135 8.726 0.975 -0.591 0.441  0.606 8.849  -1.105 7.176 0.034 8.56  0.944 -0.783 0.384  0.562  8.945  -0.132 8.747 0.367 8.812 1.014 -0.524 0.488  0.657
  26256  K0405-008 189.391008 62.322844  26256 9.142  -0.022 8.454 1.559 8.461 1.161 -0.899 0.84   0.994 9.087  -0.48  7.493 1.268 8.342 1.121 -0.987 0.775  0.938  9.2    0.401  9.096 2.924 8.586 1.194 -0.722 0.875  1.04 
  26939  GND12daw  189.17225  62.314584  26939 8.019  -1.443 8.379 0.85  8.823 0.927 -0.659 0.7    0.875 7.91   -2.25  7.515 0.374 8.672 0.906 -0.841 0.594  0.644  8.142  -0.842 8.944 1.858 8.962 0.956 -0.475 0.797  0.991
  27320  2003az    189.331971 62.310444  27320 10.889 0.692  7.65  2.272 9.269 1.505 -0.845 1.335  1.718 10.752 0.526  7.504 1.942 9.133 1.45  -0.87  1.297  1.696  10.929 0.83   8.908 3.461 9.298 1.546 -0.84  1.424  1.778
  27438  GND12col  189.156342 62.3091036 27438 10.286 0.186  7.995 2.229 9.059 1.539 -0.648 1.144  1.422 10.267 0.159  7.986 2.214 9.047 1.522 -0.65  1.129  1.406  10.305 0.213  8.005 2.245 9.07  1.557 -0.646 1.159  1.437
  28563  K0404-002 189.108046 62.160553  28563 7.665  -0.764 7.495 0.05  8.798 0.764 -0.588 0.096  0.036 7.437  -0.818 7.192 0.01  8.686 0.743 -0.662 -0.002 -0.151 7.769  -0.718 9.113 0.123 8.873 0.784 -0.517 0.42   0.127
